<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<AMOUNT>;<VOLUME>
Yandex clA;D;2022-05-05;000000;1719;1751.8;1703;1734.4;187668;324698503.6
Yandex clA;D;2022-05-06;000000;1734;1734;1655;1688;200402;337842610
Yandex clA;D;2022-05-07;000000;1688;1688;1688;1688;0;0
Yandex clA;D;2022-05-08;000000;1688;1688;1688;1688;0;0
Yandex clA;D;2022-05-09;000000;1688;1688;1688;1688;0;0
Yandex clA;D;2022-05-10;000000;1688;1688;1688;1688;0;0
Yandex clA;D;2022-05-11;000000;1688;1728.6;1634;1677.4;255646;430610240.2
Yandex clA;D;2022-05-12;000000;1694.8;1694.8;1543.6;1594;259926;418747007.8
Yandex clA;D;2022-05-13;000000;1604.6;1624.6;1574.2;1593;121145;193741145
Yandex clA;D;2022-05-14;000000;1593;1593;1593;1593;0;0
Yandex clA;D;2022-05-15;000000;1593;1593;1593;1593;0;0
Yandex clA;D;2022-05-16;000000;1618;1679;1562;1638.2;266037;437038649.6
Yandex clA;D;2022-05-17;000000;1653;1707;1649.8;1701;204920;343812920.6
Yandex clA;D;2022-05-18;000000;1707.8;1795;1701.8;1715.8;321629;564213302.8
Yandex clA;D;2022-05-19;000000;1700;1713;1640;1705;203895;342847046.4
Yandex clA;D;2022-05-20;000000;1722;1733.4;1600;1646;261098;434944607.6
Yandex clA;D;2022-05-21;000000;1646;1646;1646;1646;0;0
Yandex clA;D;2022-05-22;000000;1646;1646;1646;1646;0;0
Yandex clA;D;2022-05-23;000000;1636;1673.8;1570.6;1592.8;199405;319573080.8
Yandex clA;D;2022-05-24;000000;1592;1629;1530.2;1590;197074;309637592.6
Yandex clA;D;2022-05-25;000000;1594;1636;1572;1608;187766;300742139.2
Yandex clA;D;2022-05-26;000000;1618;1708.6;1608;1670;461177;764380796.6
Yandex clA;D;2022-05-27;000000;1700;1705;1630;1644;221086;365128125.2
Yandex clA;D;2022-05-28;000000;1644;1644;1644;1644;0;0
Yandex clA;D;2022-05-29;000000;1644;1644;1644;1644;0;0
Yandex clA;D;2022-05-30;000000;1654;1663;1592.2;1597.6;214285;345984557.8
Yandex clA;D;2022-05-31;000000;1591;1602;1550.4;1567.8;151996;239656744.2
Yandex clA;D;2022-06-01;000000;1566.8;1623;1559;1586;226672;362783554.8
Yandex clA;D;2022-06-02;000000;1590.8;1607.6;1564.6;1592;204052;324067104.4
Yandex clA;D;2022-06-03;000000;1593;1620;1366.4;1497;1367308;2055600308
Yandex clA;D;2022-06-04;000000;1497;1497;1497;1497;0;0
Yandex clA;D;2022-06-05;000000;1497;1497;1497;1497;0;0
Yandex clA;D;2022-06-06;000000;1513;1525.6;1385;1399.8;904102;1291278582.6
Yandex clA;D;2022-06-07;000000;1397.8;1442.6;1333;1438;760606;1052420024.2
Yandex clA;D;2022-06-08;000000;1470;1495;1441.4;1456.2;370122;542763382.4
Yandex clA;D;2022-06-09;000000;1456.6;1461.2;1382;1401.4;379496;534602253.8
Yandex clA;D;2022-06-10;000000;1390;1470;1350;1400.8;492966;691152112
Yandex clA;D;2022-06-11;000000;1400.8;1400.8;1400.8;1400.8;0;0
Yandex clA;D;2022-06-12;000000;1400.8;1400.8;1400.8;1400.8;0;0
Yandex clA;D;2022-06-13;000000;1400.8;1400.8;1400.8;1400.8;0;0
Yandex clA;D;2022-06-14;000000;1360;1429.2;1360;1386;324922;454439546.8
Yandex clA;D;2022-06-15;000000;1398.6;1407.8;1380.2;1390;239641;333772470.2
Yandex clA;D;2022-06-16;000000;1404;1457;1390;1456.2;474175;674200850.2
Yandex clA;D;2022-06-17;000000;1472;1511.4;1433.4;1465;454570;671172981.4
Yandex clA;D;2022-06-18;000000;1465;1465;1465;1465;0;0
Yandex clA;D;2022-06-19;000000;1465;1465;1465;1465;0;0
Yandex clA;D;2022-06-20;000000;1468;1566;1467.8;1560.8;570138;867451894
Yandex clA;D;2022-06-21;000000;1574.8;1629;1531.2;1533.8;592516;935517727.2
Yandex clA;D;2022-06-22;000000;1525;1600;1500.4;1600;331678;515293028.8
Yandex clA;D;2022-06-23;000000;1604.6;1669;1581;1662;460814;753077337.4
Yandex clA;D;2022-06-24;000000;1665;1680;1610.4;1645;246009;403545489
Yandex clA;D;2022-06-25;000000;1645;1645;1645;1645;0;0
Yandex clA;D;2022-06-26;000000;1645;1645;1645;1645;0;0
Yandex clA;D;2022-06-27;000000;1660;1779;1645.2;1779;523233;898757902.6
Yandex clA;D;2022-06-28;000000;1781;1781.2;1731.2;1750;396257;696673260
Yandex clA;D;2022-06-29;000000;1748.8;1748.8;1666.2;1712;310178;530603240.2
Yandex clA;D;2022-06-30;000000;1710;1730;1565.8;1603.8;489999;799136636
