Date,Price
2022-05-05,86.8672
2022-05-06,82.7906
2022-05-07,83.3813
2022-05-12,84.7613
2022-05-13,81.1868
2022-05-14,77.9901
2022-05-17,77.5292
2022-05-18,77.8399
2022-05-19,79.2647
2022-05-20,77.461
2022-05-21,73.543
2022-05-24,72.563
2022-05-25,71.6157
2022-05-26,70.5152
2022-05-27,77.8411
2022-05-28,83.4884
2022-05-31,79.5975
2022-06-01,77.9204
2022-06-02,77.4625
2022-06-03,77.5907
2022-06-04,78.0832
2022-06-07,76.3623
2022-06-08,76.5431
2022-06-09,75.7671
2022-06-10,73.273
2022-06-11,72.4536
2022-06-15,69.259
2022-06-16,68.0005
2022-06-17,68.6183
2022-06-18,69.606
2022-06-21,68.4296
2022-06-22,67.0448
2022-06-23,65.437
2022-06-24,65.3846
2022-06-25,65.2785
2022-06-28,65.5738
2022-06-29,65.1689
2022-06-30,62.4179
2022-07-01,63.6502
2022-07-02,65.29
2022-07-05,66.8907
2022-07-06,70.8987
2022-07-07,74.9647
2022-07-08,75.2156
2022-07-09,73.5258
2022-07-12,73.7187
2022-07-13,69.9481
2022-07-14,69.5831
2022-07-15,69.6402
2022-07-16,68.1554
2022-07-19,67.0538
2022-07-20,66.6685
2022-07-21,65.967
2022-07-22,67.7627
2022-07-23,68.5659
2022-07-26,69.5696
2022-07-27,70.6566
2022-07-28,72.5287
2022-07-29,72.4303
2022-07-30,74.2711
2022-08-02,75.4659
2022-08-03,73.8939
2022-08-04,73.5981
2022-08-05,72.9845
2022-08-06,73.1136
2022-08-09,72.7416
2022-08-10,73.1762
2022-08-11,73.077
2022-08-12,74.3176
2022-08-13,74.4555
2022-08-16,74.3739
2022-08-17,74.201
2022-08-18,73.4834
2022-08-19,72.2122
2022-08-20,70.9763
2022-08-23,70.5253
2022-08-24,70.6177
2022-08-25,71.1089
2022-08-26,70.6361
2022-08-27,71.0653
2022-08-30,71.386
2022-08-31,71.1856
2022-09-01,70.0635
2022-09-02,70.1038
2022-09-03,69.584
2022-09-06,70.1971
2022-09-07,70.0252
2022-09-08,70.536
2022-09-09,69.7205
2022-09-10,69.4856
2022-09-13,70.0271
2022-09-14,70.3031
2022-09-15,68.9864
2022-09-16,69.0936
2022-09-17,68.9763
2022-09-20,69.131
2022-09-21,68.6041
2022-09-22,69.4814
2022-09-23,67.8074
2022-09-24,65.4503
2022-09-27,63.2015
2022-09-28,62.754
2022-09-29,62.9724
2022-09-30,61.6903
2022-10-01,61.0166
2022-10-04,64.3017
2022-10-05,66.3166
2022-10-06,67.7447
2022-10-07,67.7549
2022-10-08,68.5911
2022-10-11,69.2729
2022-10-12,70.3581
2022-10-13,70.6607
2022-10-14,70.298
2022-10-15,70.8558
2022-10-18,69.49
2022-10-19,70.5514
2022-10-20,69.7328
2022-10-21,69.251
2022-10-22,69.2675
2022-10-25,68.0498
2022-10-26,69.3917
2022-10-27,70.3839
2022-10-28,71.1763
2022-10-29,71.2629
2022-11-01,71.4333
2022-11-02,70.7276
2022-11-03,70.6137
2022-11-04,71.1801
2022-11-08,69.0566
2022-11-09,69.9167
2022-11-10,70.6111
2022-11-11,69.6582
2022-11-12,70.3225
2022-11-15,71.1128
2022-11-16,70.7395
2022-11-17,71.7844
2022-11-18,71.797
2022-11-19,71.1086
2022-11-22,72.4421
2022-11-23,71.4899
2022-11-24,71.8791
2022-11-25,72.8564
2022-11-26,73.4345
2022-11-29,73.4795
2022-11-30,73.5333
2022-12-01,73.0685
2022-12-02,72.8394
2022-12-03,75.7793
2022-12-06,75.9651
2022-12-07,76.8638
2022-12-08,76.9281
2022-12-09,76.3256
2022-12-10,76.2237
2022-12-13,77.1725
2022-12-14,77.4537
2022-12-15,78.5335
2022-12-16,79.7596
2022-12-17,78.9507
2022-12-20,80.632
2022-12-21,83.7015
2022-12-22,85.611
2022-12-23,87.3429
2022-12-24,82.6172
2022-12-27,82.3438
2022-12-28,84.1313
2022-12-29,85.8053
2022-12-30,86.6397
2022-12-31,84.7919
2023-01-10,84.6907
2023-01-11,84.8747
2023-01-12,83.8457
2023-01-13,82.2141
2023-01-14,82.2853
2023-01-17,83.4153
2023-01-18,83.8118
2023-01-19,84.5758
2023-01-20,85.3286
2023-01-21,84.8638
2023-01-24,84.887
2023-01-25,85.0336
2023-01-26,84.9209
2023-01-27,85.4263
2023-01-28,85.673
2023-01-31,86.0027
2023-02-01,87.2935
2023-02-02,86.2988
2023-02-03,86.333
2023-02-04,86.5591
2023-02-07,85.4602
2023-02-08,85.163
2023-02-09,85.9989
2023-02-10,88.0352
2023-02-11,88.5809
2023-02-14,88.9017
2023-02-15,89.6493
2023-02-16,90.2069
2023-02-17,89.739
2023-02-18,89.7928
2023-02-21,88.837
2023-02-22,90.0411
2023-02-23,90.6889
2023-02-28,90.0737
2023-03-01,90.104
2023-03-02,91.1067
2023-03-03,90.6203
2023-03-04,90.2039
2023-03-07,90.3938
2023-03-08,90.5643
2023-03-10,89.8461
2023-03-11,90.3086
2023-03-14,91.3228
2023-03-15,91.4268
2023-03-16,92.0007
2023-03-17,91.9053
2023-03-18,92.7603
2023-03-21,93.772
2023-03-22,94.1641
2023-03-23,93.8557
2023-03-24,93.339
2023-03-25,94.1532
2023-03-28,93.5945
2023-03-29,94.0114
2023-03-30,94.8909
2023-03-31,94.9009
2023-04-01,95.7262
2023-04-04,96.3786
2023-04-05,98.378
2023-04-06,99.4973
2023-04-07,100.4358
2023-04-08,102.5865
2023-04-11,101.7714
2023-04-12,102.1825
2023-04-13,102.0503
2023-04-14,101.8171
2023-04-15,101.9621
2023-04-18,101.5778
2023-04-19,100.9019
2023-04-20,101.4807
2023-04-21,101.6154
2023-04-22,101.5156
2023-04-25,100.7641
2023-04-26,101.5786
2023-04-27,101.2343
2023-04-28,101.7218
2023-04-29,100.5883
2023-05-03,100.4789
2023-05-04,98.9118
2023-05-05,98.5268
2023-05-06,96.579
2023-05-11,96.7251
2023-05-12,95.7512
2023-05-13,96.6827
2023-05-16,98.6936
2023-05-17,100.0547
2023-05-18,100.9068
2023-05-19,99.7736
2023-05-20,99.1595
2023-05-23,99.4108
2023-05-24,99.5908
2023-05-25,99.3189
2023-05-26,98.9163
2023-05-27,98.8149
2023-05-30,98.9246
2023-05-31,99.5035
2023-06-01,100.5219
2023-06-02,100.3489
2023-06-03,101.2886
2023-06-06,101.5398
2023-06-07,100.8315
2023-06-08,101.0732
2023-06-09,102.3043
2023-06-10,103.5914
2023-06-14,104.6343
2023-06-15,106.2831
2023-06-16,106.597
2023-06-17,106.5949
2023-06-20,107.6036
2023-06-21,107.7853
2023-06-22,107.2882
2023-06-23,106.441
2023-06-24,107.1002
2023-06-27,107.6167
2023-06-28,108.0906
2023-06-29,109.1302
2023-06-30,109.7848
2023-07-01,111.5234
2023-07-04,113.5684
2023-07-05,113.6237
2023-07-06,114.9641
2023-07-07,117.7114
2023-07-08,116.407
2023-07-11,117.3399
2023-07-12,115.9815
2023-07-13,116.8794
2023-07-14,117.2014
2023-07-15,118.1821
2023-07-18,118.5971
2023-07-19,118.6414
2023-07-20,119.3047
2023-07-21,117.066
2023-07-22,116.1532
2023-07-25,116.2331
2023-07-26,115.4741
2023-07-27,115.7642
2023-07-28,116.3361
2023-07-29,116.898
2023-08-01,117.8243
2023-08-02,118.0508
2023-08-03,118.4837
2023-08-04,118.9964
2023-08-05,120.3772
2023-08-08,123.1903
2023-08-09,122.7076
2023-08-10,123.9122
2023-08-11,123.8561
2023-08-12,125.0661
2023-08-15,128.452
2023-08-16,123.3456
2023-08-17,123.2499
2023-08-18,119.5543
2023-08-19,119.1564
2023-08-22,119.7115
2023-08-23,119.7846
2023-08-24,120.2437
2023-08-25,119.7284
2023-08-26,119.7914
2023-08-29,120.7526
2023-08-30,120.1506
2023-08-31,120.7641
2023-09-01,122.6048
2023-09-02,122.0931
2023-09-05,121.9247
2023-09-06,123.0738
2023-09-07,122.8332
2023-09-08,122.6567
2023-09-09,122.1701
2023-09-12,120.4906
2023-09-13,118.654
2023-09-14,119.6479
2023-09-15,120.105
2023-09-16,119.9709
2023-09-19,119.7942
2023-09-20,119.1248
2023-09-21,119.8247
2023-09-22,119.1153
2023-09-23,118.0163
2023-09-26,117.9226
2023-09-27,117.3909
2023-09-28,117.4212
2023-09-29,117.6632
2023-09-30,118.8265
2023-10-03,120.2127
2023-10-04,120.3323
2023-10-05,120.1422
2023-10-06,120.7577
2023-10-07,122.1972
2023-10-10,123.5373
2023-10-11,122.0205
2023-10-12,122.5465
2023-10-13,119.42
2023-10-14,118.8514
2023-10-17,118.1155
2023-10-18,118.6548
2023-10-19,118.6191
2023-10-20,118.1896
2023-10-21,116.4578
2023-10-24,115.0703
2023-10-25,114.1721
2023-10-26,113.4389
2023-10-27,113.6212
2023-10-28,112.9888
2023-10-31,113.2069
2023-11-01,111.8627
2023-11-02,113.1861
