<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<AMOUNT>;<VOLUME>
Сбербанк;D;2014-04-04;000000;81.95;83.3;80.85;82.98;147144280;12067295488.7
Сбербанк;D;2014-04-05;000000;82.98;82.98;82.98;82.98;0;0
Сбербанк;D;2014-04-06;000000;82.98;82.98;82.98;82.98;0;0
Сбербанк;D;2014-04-07;000000;81.88;81.88;78.87;79.95;236725410;18991884791.3
Сбербанк;D;2014-04-08;000000;79.9;80;78.51;79.41;163499350;12949536875.1
Сбербанк;D;2014-04-09;000000;79.8;80.1;77.75;78.85;161363630;12673403126.6
Сбербанк;D;2014-04-10;000000;79.22;80.44;78.51;79.9;178317550;14170548657.5
Сбербанк;D;2014-04-11;000000;78.71;80.07;77.65;79.75;154422060;12236550210.6
Сбербанк;D;2014-04-12;000000;79.75;79.75;79.75;79.75;0;0
Сбербанк;D;2014-04-13;000000;79.75;79.75;79.75;79.75;0;0
Сбербанк;D;2014-04-14;000000;79.11;79.11;77.5;78.35;190735310;14910754294.4
Сбербанк;D;2014-04-15;000000;78;78.34;75.1;75.2;190723350;14614490983.2
Сбербанк;D;2014-04-16;000000;75.95;76.5;73.62;76.13;271726740;20398523953.8
Сбербанк;D;2014-04-17;000000;76;77.21;75.2;76.89;201674510;15344443361.7
Сбербанк;D;2014-04-18;000000;78.39;79.4;78.22;78.82;114463050;9018787421.5
Сбербанк;D;2014-04-19;000000;78.82;78.82;78.82;78.82;0;0
Сбербанк;D;2014-04-20;000000;78.82;78.82;78.82;78.82;0;0
Сбербанк;D;2014-04-21;000000;78.8;78.8;77.46;77.62;83590290;6524700324
Сбербанк;D;2014-04-22;000000;77.5;77.5;75.6;76.3;135293150;10366817228.3
Сбербанк;D;2014-04-23;000000;76.2;76.51;75.12;75.56;133283600;10096596348.4
Сбербанк;D;2014-04-24;000000;75.85;76.11;71.81;73.21;251265730;18512448292.7
Сбербанк;D;2014-04-25;000000;73.05;73.1;69.56;69.91;297122510;21073635940.9
Сбербанк;D;2014-04-26;000000;69.91;69.91;69.91;69.91;0;0
Сбербанк;D;2014-04-27;000000;69.91;69.91;69.91;69.91;0;0
Сбербанк;D;2014-04-28;000000;69;73.7;67.9;73.39;382641850;26919766522.5
Сбербанк;D;2014-04-29;000000;74.19;74.66;72.3;72.8;184166290;13562850951.4
Сбербанк;D;2014-04-30;000000;72.51;73.1;71.48;72.5;109106810;7884706883
Сбербанк;D;2014-05-01;000000;72.5;72.5;72.5;72.5;0;0
Сбербанк;D;2014-05-02;000000;72;72.5;70.89;72.22;64294280;4614899568.3
Сбербанк;D;2014-05-03;000000;72.22;72.22;72.22;72.22;0;0
Сбербанк;D;2014-05-04;000000;72.22;72.22;72.22;72.22;0;0
Сбербанк;D;2014-05-05;000000;71.35;72.44;71.01;71.99;67164800;4819865433.2
Сбербанк;D;2014-05-06;000000;72.32;74.3;72.32;74.1;129555640;9525359949.2
Сбербанк;D;2014-05-07;000000;73.23;80.37;73.16;78.5;271218480;20847433784.2
Сбербанк;D;2014-05-08;000000;79;80.25;77.57;78.8;248696590;19652189431.2
Сбербанк;D;2014-05-09;000000;78.8;78.8;78.8;78.8;0;0
Сбербанк;D;2014-05-10;000000;78.8;78.8;78.8;78.8;0;0
Сбербанк;D;2014-05-11;000000;78.8;78.8;78.8;78.8;0;0
Сбербанк;D;2014-05-12;000000;78.79;79.9;77.73;79.08;164644990;12971345421
Сбербанк;D;2014-05-13;000000;79.76;81.08;79.15;80.15;186766010;14982774153.6
Сбербанк;D;2014-05-14;000000;80.25;81.68;79.55;81.38;136298440;10950369363.2
Сбербанк;D;2014-05-15;000000;81.1;82.3;79.75;80.04;171237780;13958326176.9
Сбербанк;D;2014-05-16;000000;79.4;79.79;78.53;79.2;148101150;11712181282.7
Сбербанк;D;2014-05-17;000000;79.2;79.2;79.2;79.2;0;0
Сбербанк;D;2014-05-18;000000;79.2;79.2;79.2;79.2;0;0
Сбербанк;D;2014-05-19;000000;79.3;81.68;79.17;81.62;141103030;11387666217.8
Сбербанк;D;2014-05-20;000000;82.05;82.55;80.55;82.31;155680150;12704722224.7
Сбербанк;D;2014-05-21;000000;82;84.09;81.3;83.59;191332530;15827223384.5
Сбербанк;D;2014-05-22;000000;84.01;84.3;82.16;83.26;132031140;10987132137.3
Сбербанк;D;2014-05-23;000000;83.2;85.98;82.63;85.83;170529760;14373948595.5
Сбербанк;D;2014-05-24;000000;85.83;85.83;85.83;85.83;0;0
Сбербанк;D;2014-05-25;000000;85.83;85.83;85.83;85.83;0;0
Сбербанк;D;2014-05-26;000000;86;87.62;85.37;86.87;113548190;9861521266.2
Сбербанк;D;2014-05-27;000000;86.9;86.9;83.95;84.33;149979600;12750027950.6
Сбербанк;D;2014-05-28;000000;84.5;85.38;83.73;84.95;117406900;9936248035.4
Сбербанк;D;2014-05-29;000000;85.3;86.01;84.18;85.65;133574640;11385853542.6
Сбербанк;D;2014-05-30;000000;85.65;85.9;84.21;84.5;108275150;9193858538.7
Сбербанк;D;2014-05-31;000000;84.5;84.5;84.5;84.5;0;0
Сбербанк;D;2014-06-01;000000;84.5;84.5;84.5;84.5;0;0
Сбербанк;D;2014-06-02;000000;84.76;87.15;84.76;85.91;135553000;11679296280.8
Сбербанк;D;2014-06-03;000000;85.3;86.84;84.66;86.84;119911060;10259671670.7
Сбербанк;D;2014-06-04;000000;86.41;88.47;86.23;87.81;118827760;10361328204.3
Сбербанк;D;2014-06-05;000000;87.95;89.05;86.86;87.43;136671320;12025304480.7
Сбербанк;D;2014-06-06;000000;87.75;89.18;86.28;89;127899230;11211383095.1
Сбербанк;D;2014-06-07;000000;89;89;89;89;0;0
Сбербанк;D;2014-06-08;000000;89;89;89;89;0;0
Сбербанк;D;2014-06-09;000000;89.3;89.6;88.62;88.89;84842190;7560962732
Сбербанк;D;2014-06-10;000000;88.88;89;87.87;88.99;85853250;7596389042.6
Сбербанк;D;2014-06-11;000000;89;89.33;88.51;89;67980020;6041154867.6
Сбербанк;D;2014-06-12;000000;89;89;89;89;0;0
Сбербанк;D;2014-06-13;000000;89;89;89;89;0;0
Сбербанк;D;2014-06-14;000000;89;89;89;89;0;0
Сбербанк;D;2014-06-15;000000;89;89;89;89;0;0
Сбербанк;D;2014-06-16;000000;84.5;85.72;84.15;84.85;130296750;11088013550.9
Сбербанк;D;2014-06-17;000000;84.95;85.55;83.37;83.8;86913970;7330000018.9
Сбербанк;D;2014-06-18;000000;84.11;84.55;83.12;83.77;115310330;9671046875.6
Сбербанк;D;2014-06-19;000000;84.55;85.69;84.35;84.8;112078350;9528743715
Сбербанк;D;2014-06-20;000000;84.8;85.14;84.1;84.16;83715090;7073051535.6
Сбербанк;D;2014-06-21;000000;84.16;84.16;84.16;84.16;0;0
Сбербанк;D;2014-06-22;000000;84.16;84.16;84.16;84.16;0;0
Сбербанк;D;2014-06-23;000000;84.23;85.3;83.41;83.68;99040960;8347843813.1
Сбербанк;D;2014-06-24;000000;84.09;86.6;83.91;86.5;150531880;12819683767.4
Сбербанк;D;2014-06-25;000000;86.02;86.4;83.85;84.4;114961050;9811010217.8
Сбербанк;D;2014-06-26;000000;84.9;85.14;83.46;84.1;99471360;8383743521.2
Сбербанк;D;2014-06-27;000000;84.15;84.94;83.96;84.33;57140600;4828661473.2
Сбербанк;D;2014-06-28;000000;84.33;84.33;84.33;84.33;0;0
Сбербанк;D;2014-06-29;000000;84.33;84.33;84.33;84.33;0;0
Сбербанк;D;2014-06-30;000000;84.5;84.7;83.03;84.5;81496490;6822354609.1
Сбербанк;D;2014-07-01;000000;84.45;84.46;83.05;84.07;80028320;6700970195
Сбербанк;D;2014-07-02;000000;84.3;85.97;84.12;85.79;94197580;8016712732.6
Сбербанк;D;2014-07-03;000000;85.9;86.5;85.25;85.34;76353880;6559336708.5
Сбербанк;D;2014-07-04;000000;85.51;85.86;83.8;84;69404770;5890073881
Сбербанк;D;2014-07-05;000000;84;84;84;84;0;0
Сбербанк;D;2014-07-06;000000;84;84;84;84;0;0
Сбербанк;D;2014-07-07;000000;84.08;85.7;83.87;85.49;71042760;6025535758
Сбербанк;D;2014-07-08;000000;85.3;86.69;84.67;85.11;99525260;8532268044.6
Сбербанк;D;2014-07-09;000000;84.91;85.56;84.2;85.2;80831840;6861142523.7
Сбербанк;D;2014-07-10;000000;85.74;86.09;83.37;84.47;114382280;9686873454.4
Сбербанк;D;2014-07-11;000000;84.5;84.88;83.8;84.55;78260360;6602300169.9
Сбербанк;D;2014-07-12;000000;84.55;84.55;84.55;84.55;0;0
Сбербанк;D;2014-07-13;000000;84.55;84.55;84.55;84.55;0;0
Сбербанк;D;2014-07-14;000000;84.65;85.19;83.55;83.55;69434020;5856987360.7
Сбербанк;D;2014-07-15;000000;83.82;84.01;82.87;83.09;79123700;6601547994.8
Сбербанк;D;2014-07-16;000000;83;83.98;82.55;83.78;86004300;7160064071.3
Сбербанк;D;2014-07-17;000000;82;82.19;80.53;81.5;147892860;12027761202.8
Сбербанк;D;2014-07-18;000000;79.8;80.96;79.59;80.27;147407130;11816975027
Сбербанк;D;2014-07-19;000000;80.27;80.27;80.27;80.27;0;0
Сбербанк;D;2014-07-20;000000;80.27;80.27;80.27;80.27;0;0
Сбербанк;D;2014-07-21;000000;80.31;80.4;76.56;76.56;182779550;14297774488.2
Сбербанк;D;2014-07-22;000000;77.3;78.84;77.06;78.3;154403850;12028123266.1
Сбербанк;D;2014-07-23;000000;78.4;78.94;76.6;77.45;93643340;7277557742.1
Сбербанк;D;2014-07-24;000000;77;77.37;75.81;76.87;101869250;7809701201.2
Сбербанк;D;2014-07-25;000000;76.81;76.98;75;75.16;109515350;8283568523.8
Сбербанк;D;2014-07-26;000000;75.16;75.16;75.16;75.16;0;0
Сбербанк;D;2014-07-27;000000;75.16;75.16;75.16;75.16;0;0
